"","CENT_northing","CENT_easting","south","west","north","east"
"1",4101493.0279,297795.1971,4101473.0279,297775.1971,4101513.0279,297815.1971
"2",4100713.0279,297045.1971,4100693.0279,297025.1971,4100733.0279,297065.1971
"3",4101013.0279,299805.1971,4100993.0279,299785.1971,4101033.0279,299825.1971
"4",4101433.0279,298155.1971,4101413.0279,298135.1971,4101453.0279,298175.1971
"5",4100833.0279,298695.1971,4100813.0279,298675.1971,4100853.0279,298715.1971
"6",4100083.0279,297045.1971,4100063.0279,297025.1971,4100103.0279,297065.1971
"7",4100413.0279,299865.1971,4100393.0279,299845.1971,4100433.0279,299885.1971
"8",4100533.0279,297525.1971,4100513.0279,297505.1971,4100553.0279,297545.1971
"9",4101403.0279,298755.1971,4101383.0279,298735.1971,4101423.0279,298775.1971
"10",4100683.0279,297495.1971,4100663.0279,297475.1971,4100703.0279,297515.1971
"11",4100593.0279,297045.1971,4100573.0279,297025.1971,4100613.0279,297065.1971
"12",4100743.0279,298935.1971,4100723.0279,298915.1971,4100763.0279,298955.1971
"13",4101493.0279,299745.1971,4101473.0279,299725.1971,4101513.0279,299765.1971
"14",4100413.0279,299595.1971,4100393.0279,299575.1971,4100433.0279,299615.1971
"15",4100653.0279,300555.1971,4100633.0279,300535.1971,4100673.0279,300575.1971
"16",4100443.0279,300435.1971,4100423.0279,300415.1971,4100463.0279,300455.1971
"17",4100653.0279,300255.1971,4100633.0279,300235.1971,4100673.0279,300275.1971
"18",4101313.0279,299265.1971,4101293.0279,299245.1971,4101333.0279,299285.1971
"19",4101313.0279,297555.1971,4101293.0279,297535.1971,4101333.0279,297575.1971
"20",4101493.0279,299655.1971,4101473.0279,299635.1971,4101513.0279,299675.1971
"21",4100113.0279,298545.1971,4100093.0279,298525.1971,4100133.0279,298565.1971
"22",4100083.0279,296955.1971,4100063.0279,296935.1971,4100103.0279,296975.1971
"23",4101463.0279,299295.1971,4101443.0279,299275.1971,4101483.0279,299315.1971
"24",4101193.0279,297765.1971,4101173.0279,297745.1971,4101213.0279,297785.1971
"25",4101433.0279,299145.1971,4101413.0279,299125.1971,4101453.0279,299165.1971
"26",4100653.0279,298065.1971,4100633.0279,298045.1971,4100673.0279,298085.1971
"27",4100563.0279,297435.1971,4100543.0279,297415.1971,4100583.0279,297455.1971
"28",4100083.0279,297795.1971,4100063.0279,297775.1971,4100103.0279,297815.1971
"29",4101343.0279,298365.1971,4101323.0279,298345.1971,4101363.0279,298385.1971
"30",4101043.0279,297165.1971,4101023.0279,297145.1971,4101063.0279,297185.1971
"31",4101163.0279,299685.1971,4101143.0279,299665.1971,4101183.0279,299705.1971
"32",4101103.0279,298215.1971,4101083.0279,298195.1971,4101123.0279,298235.1971
"33",4100773.0279,298155.1971,4100753.0279,298135.1971,4100793.0279,298175.1971
"34",4100923.0279,299205.1971,4100903.0279,299185.1971,4100943.0279,299225.1971
"35",4100863.0279,298395.1971,4100843.0279,298375.1971,4100883.0279,298415.1971
"36",4101073.0279,299205.1971,4101053.0279,299185.1971,4101093.0279,299225.1971
"37",4101193.0279,298065.1971,4101173.0279,298045.1971,4101213.0279,298085.1971
"38",4101133.0279,299565.1971,4101113.0279,299545.1971,4101153.0279,299585.1971
"39",4100953.0279,298305.1971,4100933.0279,298285.1971,4100973.0279,298325.1971
"40",4100953.0279,297945.1971,4100933.0279,297925.1971,4100973.0279,297965.1971
"41",4100863.0279,298095.1971,4100843.0279,298075.1971,4100883.0279,298115.1971
"42",4100983.0279,299355.1971,4100963.0279,299335.1971,4101003.0279,299375.1971
"43",4100953.0279,299025.1971,4100933.0279,299005.1971,4100973.0279,299045.1971
"44",4100953.0279,298515.1971,4100933.0279,298495.1971,4100973.0279,298535.1971
"45",4101073.0279,299445.1971,4101053.0279,299425.1971,4101093.0279,299465.1971
"46",4101163.0279,297855.1971,4101143.0279,297835.1971,4101183.0279,297875.1971
"47",4101013.0279,298635.1971,4100993.0279,298615.1971,4101033.0279,298655.1971
"48",4101013.0279,297825.1971,4100993.0279,297805.1971,4101033.0279,297845.1971
"49",4100713.0279,298065.1971,4100693.0279,298045.1971,4100733.0279,298085.1971
"50",4101073.0279,297975.1971,4101053.0279,297955.1971,4101093.0279,297995.1971
